State,Region Code,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1
SC,45001,43.61054767,44.44444444,44.91440081,45.07042254,44.92900609,43.47826087,43.9148073,44.28571429,43.26530612,43.06122449,42.80193237,43.49514563,43.38164251,41.67478092,42.11045365,41.02060844,40.31311155,40.94869313,39.7260274,39.62818004,38.68110236,38.20335637,37.52475248,37.36479843,37.40234375,37.70812929,37.04789834,37.77994158,37.74900398,36.03158934,36.81640625,37.52436647,38.91050584,38.10444874,37.19806763,36.80154143,36.1376673,34.87922705,34.62657614,34.49275362,33.39787028
LA,22001,41.0341556,41.25708885,41.10371075,40.85106383,40.37001898,40.23866348,40.45476078,41.54863078,40.68741291,39.2575406,39.39393939,39.69804618,38.96276596,38.23777403,38.24650572,38.9987379,38.31305078,38.099208,38.40700584,38.45833333,38.21205821,38.15626292,37.84450843,37.08231459,36.97513249,36.60714286,37.04006541,37.26049735,36.97341513,36.70626792,36.91800577,37.18263718,37.0158989,35.78732106,36.55737705,36.4195002,36.0460337,35.39348991,34.94224422,34.48844884,33.92342528
VA,51001,35.00687758,35.45266068,36.10533611,36.35097493,36,34.48033708,34.09090909,34.09252669,33.1920904,33.96624473,34.24383744,34.89932886,33.10719132,33.03994584,32.65167007,32.76566757,32.41188666,32.91839557,32.94520548,33.01237964,31.95020747,30.96551724,30.37800687,30.68027211,30.34623218,30.51075269,30.17473118,30.86253369,29.36454849,29.11646586,29.47510094,30.20903574,29.70430108,29.32885906,29.77303071,29.90654206,29.76744186,29.15838304,28.51432378,28.73258129,27.77408638
ID,16001,29.42404279,29.09622887,29.1126943,29.08361377,28.70525908,28.61191626,28.42294367,28.31225246,28.08860034,27.99061271,27.78728606,27.66942955,26.88256659,26.2593396,26.02043865,26.23409064,25.37596211,24.80994755,24.38552238,24.25904317,23.43278384,22.99705831,22.98463121,23.11136299,22.57392284,22.29242382,21.9943305,22.08585581,21.10508734,20.68628516,20.69298952,21.1720126,20.58792373,20.15320846,20.01870421,19.89730424,19.33789023,18.40385103,18.02949734,17.53723932,16.89592269
MO,29001,30.60453401,30.16476553,30.34571063,29.0978399,28.75157629,29.93710692,29.00763359,29.73316391,28.7327478,28.17610063,28.11735941,28.32298137,28.08988764,27.88104089,29.38978829,28.76213592,27.30538922,27.85114046,26.94610778,25.61403509,24.76415094,25.14827995,25,23.95209581,23.19711538,21.47165259,22.07317073,22.84325638,20.93301435,21.39423077,22.80912365,24.39903846,24.57627119,22.19541616,22.20873786,22.9216152,22.38095238,21.0589651,21.10311751,21.16527943,19.95249406
IA,19001,19.54397394,17.64705882,19.41747573,19.93569132,20.1320132,20.6557377,19.15584416,19.67213115,18.62745098,16.88741722,18.03278689,16.61129568,16.11842105,16.18122977,16.55629139,16.16161616,15.93220339,15.06849315,15.35836177,15.82491582,15.75342466,16.89189189,17.33333333,19.53642384,18.09210526,17.54966887,17.60797342,20.46979866,20.73578595,20.27027027,20.6779661,18.02721088,17.74744027,18.15068493,19.24398625,17.46575342,20.40816327,18.77133106,17.86941581,18.24324324,17.62711864
OK,40001,43.82284382,42.64018692,43.72801876,45.39089848,44.84777518,44.83985765,43.64705882,43.83886256,42.53554502,41.91616766,41.87643021,41.16972477,40.68965517,39.79118329,39.9077278,41.12256586,40.61784897,41.0430839,39.90929705,39.54285714,40.11363636,41.73228346,41.01694915,41.66666667,42.63392857,41.8344519,42.41071429,44.39461883,43.54120267,43.37078652,43.71523915,44.41964286,43.27683616,43.54285714,41.55251142,42.69535674,41.92090395,40.57142857,39.93250844,39.21787709,38.15937149
KY,21001,38.49840256,37.75671406,37.89308176,38.3775351,35.68075117,35.27559055,34.94539782,35.6466877,34.169279,33.90625,34.21052632,33.62318841,34.63203463,32.46753247,32.89085546,32.74074074,32.15859031,32.6055313,33.57664234,34.63768116,35.15064562,34.32624113,35.302391,34.50704225,34.31372549,33.05203938,32.67605634,31.86968839,29.91452991,30.32440056,30.65902579,32.25806452,30.50139276,30.60941828,31.63686382,31.91780822,32.10382514,30.51075269,30.06711409,30.01345895,29.0148448
IA,19003,20.83333333,23.61111111,23.40425532,21.27659574,21.83098592,22.30215827,20.28985507,21.01449275,19.7080292,17.85714286,19.07894737,22.36842105,21.47651007,19.07894737,18.91891892,19.8630137,17.80821918,17.36111111,17.00680272,19.46308725,20,21.23287671,22.97297297,20.80536913,20.54794521,19.8630137,19.71830986,17.0212766,15.38461538,14.58333333,16.90140845,16.90140845,15.10791367,15.49295775,17.6056338,15.27777778,16.43835616,14.96598639,14.96598639,15.86206897,13.79310345
MS,28001,46.26978146,46.50112867,45.96412556,46.7473525,46.7325228,46.22425629,46.43678161,46.3190184,46.14797864,46.6819222,46.92532943,46.68125456,46.85212299,46.49963154,45.45454545,45.75018477,45.1183432,44.80712166,45.27881041,45.95808383,45.93586875,44.81730052,44.49438202,44.59561602,45.39923954,45.07148232,44.85910129,45.16374714,44.16282642,44.18423107,45.17647059,43.515625,43.99375975,42.68960125,42.69051322,43.29738059,43.19754035,41.53256705,40.45977011,39.41039566,38.74015748
ND,38001,17.94871795,17.5,16.04938272,14.63414634,14.28571429,14.45783133,14.28571429,13.25301205,18.82352941,18.29268293,16.27906977,20.2247191,22.47191011,19.1011236,21.59090909,21.17647059,19.27710843,20.73170732,19.51219512,18.51851852,17.28395062,14.28571429,18.82352941,15.47619048,21.17647059,22.47191011,19.76744186,18.18181818,16.27906977,18.82352941,17.07317073,15.85365854,17.07317073,14.63414634,17.85714286,16.47058824,16.86746988,19.27710843,19.04761905,19.31818182,19.76744186
OH,39001,38.87884268,37.46606335,38.53127833,37.93418647,37.37280296,37.19626168,36.99906803,38.66790009,37.47731397,37.75971093,37.87085515,37.82837128,38.12445223,36.81462141,36.92441355,36.52024117,36.37931034,36.81034483,36.93230506,35.96566524,35.47267997,35.6461405,36.13518198,35.78856153,36.28396144,36.48293963,35.58282209,35.61403509,34.67954346,35.17060367,34.5984113,34.79427549,34.85254692,34.54384411,34.4,34.97316637,33.53982301,32,32.12389381,31.89427313,30.4845815
IL,17001,25.00878117,25.14927994,24.62240955,25.13218188,25.14184397,25.20411786,25.18597237,24.79660417,25.35460993,24.53703704,24.7148289,25.30162013,24.59580323,24.21955403,24.75281282,24.80488633,24.26095821,23.64565588,24.05451448,24.48979592,23.6868858,23.45971564,23.61064331,24.27706792,24.42876344,23.58078603,24.12985274,24.02271968,23.17725753,23.28537973,22.96570276,24.11252512,23.41069627,23.12879299,23.65047233,23.53928811,23.51170569,22.58934592,21.99661591,22.12478921,21.08474576
NE,31001,23.12390925,22.82704126,23.28042328,23.98230088,22.52650177,21.85840708,21.76211454,22.5464191,21.75066313,21.16402116,21.36170213,20.40990606,21.19148936,20.83333333,21.41652614,21.67364017,20.4526404,20.98662207,22.80701754,21.86201164,21.45816073,21.16182573,22.22222222,22.95751634,21.72131148,21.79276316,21.23230641,21.9291014,20.48092869,20.43369475,21.61263508,21.60133445,20.70410729,20.16736402,20.31772575,20.52761748,20.89925062,19.34398654,20.11637573,20.1320132,18.57025472
CO,8001,36.92676465,35.83280955,35.64910956,36.09084046,35.69769632,35.31775936,35.40221264,35.3606262,34.45644876,34.05159332,33.08925277,33.50160624,32.91037952,32.06444659,31.84979924,31.69512469,31.08825667,30.81099047,30.70957096,30.41273649,29.73895147,29.30300253,29.16999414,29.5506152,28.80623749,28.45681925,28.68294216,28.49326599,27.88567819,27.59143156,27.59608374,27.83869459,27.49650928,27.02507481,26.80602521,27.05714722,26.60867796,25.58895207,25.16542911,25.02010859,23.98638502
ID,16003,22.2972973,20.80536913,22.2972973,21.12676056,24.81751825,26.57342657,26.71232877,27.27272727,26.38888889,27.02702703,27.38853503,26.75159236,24.18300654,21.56862745,20.39473684,18.66666667,17.8807947,17.10526316,18.70967742,18.35443038,18.51851852,20.24539877,19.25465839,18.98734177,16.56050955,17.79141104,17.57575758,16.07142857,13.0952381,15.24390244,14.54545455,15.24390244,17.57575758,13.85542169,13.60946746,16.47058824,13.60946746,10.98265896,11.42857143,13.40782123,12.15469613
