State,Region Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
SC,45001,-2,4,4,0,9,6,-6,5,4,3,7
LA,22001,-3,6,0,6,-3,1,-5,0,3,2,4
VA,51001,35,4,-5,8,-14,-13,-6,-8,-6,2,1
ID,16001,-2,0,1,2,7,7,4,6,8,9,5
IA,19001,-8,0,17,-1,11,-2,8,-2,0,13,20
KY,21001,0,4,3,5,3,4,0,-4,4,4,4
OK,40001,0,17,2,-3,-2,2,11,-3,3,2,-1
MO,29001,2,5,6,-13,5,3,2,-2,2,5,3
ID,16003,0,5,1,10,4,5,11,1,3,2,4
MS,28001,-16,-4,4,3,8,-1,-4,-2,1,5,3
NE,31001,-3,0,10,5,9,0,-1,2,3,4,3
ND,38001,8,4,3,37,-15,0,23,-10,-8,10,47
CO,8001,-2,2,4,4,6,10,7,5,8,9,7
WI,55001,13,-6,-4,1,5,-5,4,5,1,4,7
OH,39001,24,-4,7,-9,5,-3,7,8,-11,-34,-20
IA,19003,8,14,20,-23,18,16,5,1,-2,-1,9
PA,42001,4,0,4,5,3,3,4,3,5,1,3
IN,18001,-12,18,6,6,9,9,7,2,10,2,2
IL,17001,-1,5,4,4,3,3,3,3,-4,5,3
WA,53001,-11,6,9,4,7,-4,7,-12,-3,17,8
VT,50001,-1,7,7,7,-7,3,4,5,4,3,4
SC,45003,-5,3,1,0,0,1,6,2,2,6,4
MN,27001,0,7,-2,-3,3,2,12,4,7,-1,11
FL,12001,0,0,0,2,3,4,5,4,4,6,5
NC,37001,-3,5,3,2,2,2,4,6,2,3,5
CA,6001,-3,4,3,5,6,6,10,5,6,5,4
CO,8003,3,-3,6,-1,4,4,9,-1,3,8,9
WY,56001,3,2,6,1,5,4,4,-2,6,0,2
NY,36001,6,1,1,3,5,5,4,4,2,4,4
MI,26001,-2,1,-7,-1,6,0,2,4,6,4,12
MS,28003,-1,1,1,12,7,-1,3,-2,0,4,3
IL,17003,-7,3,-10,-10,5,-1,2,-3,2,-1,12
NC,37003,-2,6,-2,5,6,9,7,-1,5,-1,3
VA,51510,2,3,-2,3,-2,1,5,2,2,2,1
OK,40003,-29,31,54,37,-5,27,-38,-31,-13,14,1
MI,26003,9,0,-10,6,6,1,4,1,3,7,3
IA,19005,-3,8,7,-3,9,7,1,5,-3,-2,2
MI,26005,-5,5,9,1,4,0,6,6,-1,11,1
NY,36003,-5,9,2,4,-2,13,1,-1,1,3,7
