RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,FIPS Code,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021
399648,457,83646,Zip,ID,ID,Meridian,Boise City,Ada County,16001,165025,165493,165748,166049,166606,167156,167406,167447,167601,167791,167829,167762,167969,168240,168837,169181,169672,169838,170311,170737,171256,171599,172126,172613,172952,173141,173400,173610,173590,173499,173458,173547,173749,174113,174463,174741,174879,175346,175324,175768,176113,177199,177978,178626,179024,179451,179834,180549,181318,182148,183063,183665,183915,183538,183375,183496,183558,183369,183281,184087,185288,187166,189303,190653,192664,194495,198084,201511,205378,208521,209946,209773,211120,214773,218821,224265,228608,234676,237644,240515,242891,247759,255990,264343,268433,264586,260292,256721,257702,257511,258006,257919,257857,256671,254653,252588,251198,252259,252846,252947,249406,245066,241386,238516,236090,232467,227910,222382,218901,215495,212663,208528,204759,202567,200081,197957,195380,193229,191546,191222,189809,189945,188500,188226,187336,185215,182712,179980,177594,175952,174258,172544,171182,168996,168200,166111,164886,164427,165316,165721,166519,166864,168079,168628,168640,169435,170492,174384,178108,181635,184050,187528,190705,193976,195495,198541,203076,207011,211000,211926,213930,215297,218155,220229,221490,223135,225842,227769,228005,227989,227983,228974,228921,229355,228878,228653,229287,229760,230412,230768,231556,233016,234069,235803,237269,238800,239801,240916,241571,242199,242675,244070,247335,249597,251736,251880,253386,254331,255747,256972,259016,261062,262427,263528,262925,264102,265204,268621,270144,272418,274389,276736,278937,281163,284584,287158,290006,292143,294865,297596,301837,306653,312024,315746,318942,321292,324086,326914,330304,332292,334983,336301,338772,340105,342917,346272,349986,352787,354155,355142,356309,359294,363393,367639,371226,375007,379094,384524,391012,399895,410719,423489,437313,452205,467409,485484
94282,613,83709,Zip,ID,ID,Boise,Boise City,Ada County,16001,136664,136697,136844,137004,137374,137805,138110,138564,138928,139375,139592,139881,140323,140852,141512,142199,142757,143138,143632,144088,144506,144733,145017,145372,145716,145940,146325,146397,146321,146091,146059,146158,146348,146646,146962,147052,147075,147368,147068,147315,147675,148520,148899,148994,149263,149609,149919,150555,151135,151790,152552,153051,153156,152806,152718,152945,153018,152841,152794,153488,154550,155944,157495,158419,160163,161937,165207,168348,171783,174628,176037,176093,177424,179948,182547,186441,190189,195636,198366,201053,203317,207679,214856,222136,225902,225205,225239,225242,226367,225687,226166,226583,226883,226322,225055,223914,223087,223952,223838,223487,221001,217990,215339,212696,210589,207534,203762,198994,196345,193309,190989,187587,184855,183355,181281,179482,177339,175365,173780,173349,171922,171864,169998,169332,167967,165733,163246,160729,158513,156805,154965,153233,151708,149630,148564,146238,144553,143822,144357,144660,145176,145409,146321,146334,145865,145854,146670,149887,153026,155480,157008,159444,161845,164518,165746,168728,173035,176931,180571,181588,183748,185646,188798,190945,192124,193332,195636,197159,197537,197704,197812,198632,198369,198649,198200,197984,198605,199318,200201,200769,201110,201994,202657,204385,206144,207814,208801,209986,210747,211366,211591,212661,215689,218016,220177,220448,221667,222509,223872,225154,227259,229437,231154,232481,232320,233585,234787,237905,239427,241546,243464,245652,247590,249459,252446,254854,257537,259575,262237,264980,269059,273649,278636,282133,285234,287717,290632,293529,296813,298857,301402,302757,305214,306793,309894,313447,317266,319848,321041,322057,323676,327043,331276,335682,339512,343517,347486,352722,358923,367566,377981,389970,402534,415915,429675,445878
94248,1058,83642,Zip,ID,ID,Meridian,Boise City,Ada County,16001,160754,160981,160950,160650,160897,161315,161747,161803,161997,162347,162719,162916,163172,163642,164427,165253,165805,165972,166250,166697,167100,167238,167422,167625,167850,167867,168143,168205,168432,168431,168516,168486,168708,169094,169515,169908,170185,170880,170851,171373,171484,172436,172986,173563,173919,174320,174687,175366,176055,176797,177645,178174,178418,178056,177953,178141,178225,178055,177964,178742,179875,181525,183434,184668,186750,188745,192441,195955,199877,203065,204546,204441,205846,209085,212550,217503,221840,228046,231058,234042,236541,241530,249783,258050,262180,259738,257389,255202,255826,254717,254787,254441,254278,253089,251211,249454,248380,249570,250217,250213,247451,244158,241493,239035,236765,233427,229368,224331,221201,217607,214478,210455,206890,204663,202006,199831,197357,195001,193036,192310,190805,191035,189784,189470,188338,186040,183327,180687,178409,176849,174966,173221,171554,169246,167869,165434,163924,163522,164391,164536,164913,165008,166166,166523,166337,166809,167994,171938,175609,178733,180942,184437,187796,191199,192694,195797,200536,204582,208523,209382,211575,213189,216049,217978,219126,220648,223353,225246,225640,225828,226017,226894,226642,226991,226640,226501,227067,227583,228323,228793,229312,230448,231221,233122,234959,236922,238109,239368,240056,240475,240582,241648,244830,247176,249360,249470,250657,251246,252427,253541,255564,257812,259533,260939,260556,261822,263097,266560,268227,270416,272422,274727,277152,279455,283001,285657,288483,290517,293061,295828,300105,305145,310571,314404,317542,320074,322896,325828,329041,331070,333758,335050,337453,338807,341783,345389,349128,352026,353509,354650,356518,360062,364606,368683,372083,375737,379673,384824,391208,399793,410327,422694,435736,449783,464198,481892
94277,1510,83704,Zip,ID,ID,Boise,Boise City,Ada County,16001,117772,117943,118118,118275,118606,118927,119217,119480,119628,119747,119904,120197,120664,121168,121820,122239,122584,122943,123604,124177,124549,124810,125162,125636,125905,126043,126188,126121,126004,125903,125889,125969,126061,126265,126366,126121,125910,125967,125752,126275,126891,127397,127261,126901,127112,127373,127624,128182,128718,129304,129922,130196,130100,129781,129803,130114,130150,129970,129897,130488,131371,132593,134027,134780,136187,137577,140391,143094,145964,148273,149356,149309,150412,152640,155208,158618,161755,166055,168275,170406,172262,175853,181958,188109,191354,190439,189056,188608,189639,190184,190871,191457,191770,191520,190366,189470,188665,189629,190384,190649,188841,186160,183953,182029,180571,178253,175457,171737,170009,167548,165572,162561,160379,159357,158002,156835,155314,154019,152944,152913,151703,151863,150513,149905,148542,146110,143531,140599,138152,136208,134144,131847,129686,127278,126029,124051,122348,121371,121322,121335,121437,121216,121740,121945,122047,122365,122920,125348,127846,130185,131819,134161,136396,138754,139930,142202,145498,148348,151249,152168,154001,155412,157744,159366,160255,161424,163330,164752,164982,165160,165212,165676,165424,165538,165334,165190,165829,166385,166984,167430,168045,169305,170344,172001,173542,175057,175945,176965,177562,177983,178324,179246,181511,182928,184333,184512,185597,186358,187698,188974,190914,192866,194366,195627,195812,197303,198717,201703,203289,205435,207171,209219,211088,213060,215928,218342,220997,223149,225771,228492,232499,236828,241478,244686,247681,250226,253196,256001,259125,261083,263438,264447,266363,267566,270271,273401,276956,279408,281055,282605,284621,288062,292510,297298,301488,305713,310019,315493,321578,329774,339192,350037,361449,373688,386039,400550
94279,1917,83706,Zip,ID,ID,Boise,Boise City,Ada County,16001,140113,140476,140699,140731,140930,141297,141698,142396,142919,143476,143725,143820,144095,144290,144834,145433,145968,146255,146667,146819,146914,146826,146915,147125,147278,147619,148087,148283,148550,148640,148776,148793,149086,149545,150015,150312,150535,150713,150367,150537,150501,150938,151037,151324,151585,151886,152144,152761,153332,154046,154769,155232,155398,155128,155091,155232,155232,155020,154916,155579,156577,157942,159613,160651,162570,164422,167782,171040,174499,177253,178423,178252,179482,181997,184875,188994,192890,198309,201017,203632,205761,209963,217195,224578,228563,228174,227230,226214,226104,224838,224684,224297,224397,223861,222706,221771,221466,222817,223780,224492,223291,221389,219380,217548,215948,213507,210191,205596,202280,198485,195543,192348,190105,189154,188148,187580,186857,185963,184882,184764,183620,184062,182961,182254,180960,178573,176186,173326,170270,167932,166151,164652,163699,161805,160745,158418,156321,155583,155635,155554,155663,155619,156374,157251,157471,158032,158429,161360,164419,166569,167986,170266,172623,174832,175323,175840,178050,180164,183903,185102,187287,188704,191044,192808,193778,195236,197438,199375,199545,199698,199063,199463,198712,198700,198213,197742,198551,199000,199895,200481,201473,202975,204133,206023,208003,209981,211314,212752,213373,214396,215263,217297,220481,222625,224695,224969,226340,227432,229103,230920,233362,235546,236962,238083,238337,240331,242028,245729,247740,250511,252984,255529,257932,260375,264047,266929,269820,271937,274728,277533,281870,286501,291629,295081,298306,300772,303506,306370,309929,312442,315621,317396,320168,321980,325165,328858,332534,335197,336789,338130,339720,343108,347706,352619,356826,361091,365681,371686,378815,388323,399484,412343,426054,440539,455080,472234
94278,3270,83705,Zip,ID,ID,Boise,Boise City,Ada County,16001,104101,104305,104403,104377,104530,104820,105223,105546,105830,106023,106285,106424,106691,106934,107389,107827,108099,108232,108585,108998,109263,109397,109617,110085,110288,110522,110699,110799,111023,111335,111587,111779,111997,112315,112482,112368,112460,112667,112652,112933,112992,112967,112647,112378,112523,112706,112912,113376,113754,114208,114673,114968,115043,114940,115027,115281,115276,115124,115075,115621,116412,117256,118238,118700,120072,121547,124183,126727,129415,131689,132848,133019,134169,135521,136999,139324,142258,146609,148996,151275,153049,156491,162197,167950,170977,173086,175423,178236,179224,178571,178716,178894,179579,179411,178725,178438,178637,179266,179337,179178,178354,176852,175287,173976,173057,171099,168333,164477,162386,159616,157405,154245,152109,151348,150262,149139,147374,146388,145619,145549,144376,144266,142944,142014,140581,138185,135762,133014,130747,128722,126606,124508,122573,120443,118860,116510,114531,113591,113525,113441,113437,112975,113403,113314,113196,113148,113983,116875,119734,122112,123883,126495,128871,131452,132563,135518,139282,142909,145942,147053,148899,149972,151893,153293,154338,155684,157864,159155,159414,159374,159445,159813,159511,159770,159655,159489,160107,160678,161322,161332,161454,162199,162922,164474,166085,168010,169401,170763,171509,171832,172168,173353,176069,178231,180292,180761,181912,182732,183973,185210,186947,189283,191363,193291,193986,195606,197050,200062,201899,203916,205638,207737,209920,211909,214335,216456,218556,220358,222772,225875,230292,235170,240451,244100,247436,250177,253538,256810,260337,262849,265544,266842,268673,270099,272762,276243,279807,282271,283676,284735,286747,290335,294969,299756,304135,308524,313060,318597,325091,333916,344277,356309,368713,381802,395219,411022
94227,3433,83616,Zip,ID,ID,Eagle,Boise City,Ada County,16001,264309,264722,265075,265546,266405,267866,269065,270643,271147,271473,270728,270514,271114,271510,272425,272951,273584,273870,274692,275121,275939,276374,277689,278420,278781,279042,279333,279111,278346,278456,278699,279243,279267,279936,280508,280778,280785,281053,280877,282127,283727,282993,281193,278879,279196,279445,279711,280612,281599,282801,283931,284338,284024,284112,284908,286234,286260,285868,285515,286780,288539,290749,293359,294957,298307,302117,308565,315126,321656,327087,329648,329653,332174,335658,340097,346954,354384,364599,369825,375362,379839,388046,401685,415305,422728,425553,427091,427577,427359,424054,423462,420957,420490,418085,414602,411148,408467,408182,407081,406406,402317,398614,394536,391334,386817,381767,375738,368355,363788,357338,351507,343557,337556,333316,328777,324732,321215,317410,313717,311832,308634,308265,306212,305988,304382,300707,297091,293987,290921,288980,286822,284676,282477,279221,277703,274774,273799,274312,276069,276226,277048,276961,278358,278677,278738,279496,281006,286191,290955,294702,297156,301524,305206,309288,310832,315058,321423,327273,333033,334554,336592,338352,341874,344796,346126,348243,352036,354653,354500,353777,352795,353368,353244,353850,353444,352744,353880,354815,355754,355830,356580,358678,360259,362620,364917,367231,368666,370193,371102,371319,371482,373067,378687,382558,386748,387268,389150,390024,391763,393919,397086,400576,402727,404595,402706,403487,403977,408852,411174,414957,418267,421972,425026,428299,433549,437578,441479,444074,447044,450305,455758,461776,468192,471700,475344,477903,481357,484712,489543,492502,497047,499068,503015,504858,509737,515289,521490,525789,528045,529969,532360,537541,543749,549929,555158,561426,567909,576908,587166,601519,618795,639105,660902,684500,709314,739308
94275,3915,83702,Zip,ID,ID,Boise,Boise City,Ada County,16001,196150,196278,196305,197097,199146,200664,201331,201438,200961,200878,201317,201270,202490,203023,204207,203982,202923,202263,202355,203062,203424,203612,203314,203254,202882,203319,203907,204829,205571,206154,206856,207347,207855,208169,208739,209255,209848,210225,209806,209907,210512,211546,211973,212110,212507,213003,213445,214313,215266,216314,217512,218298,218535,218064,217908,218202,218303,218209,218080,219239,220566,222495,224759,226272,228867,231565,236318,241094,246202,250762,253376,253931,256210,259617,263895,269726,275209,282405,286201,290241,293562,299612,309792,320227,325764,326357,325288,324463,325389,325296,326400,326185,326887,326116,324039,322005,321012,323004,324436,326343,324476,321904,318731,316750,314629,311864,307603,301876,299355,296420,295510,291906,288456,286205,284449,282578,280486,277911,276671,277346,275818,274388,270208,268194,267616,265834,263872,261962,260569,260253,259654,257736,255948,253137,252377,250300,248825,249110,250361,250504,250695,250351,251245,250641,249644,250256,252550,257825,262436,265866,268951,274129,278089,281586,282569,289512,298622,306730,311655,312633,314695,315222,316606,316711,317374,320026,324116,325762,325733,325902,327136,328201,327994,329169,329521,330270,331904,334857,338059,339044,337779,336945,336664,339045,341865,344828,347487,349656,350550,346328,341815,339658,343695,346936,349427,349899,351693,353736,355388,357187,359643,364737,369036,372847,373230,375656,378514,384267,387335,390076,392448,395038,398436,402152,408308,413349,418676,422583,426748,430256,436074,442917,450990,457608,463076,467772,471096,474335,477736,480562,484840,487045,490106,491144,494629,498947,504088,506582,508043,509129,511363,515661,521863,528529,534635,541339,548118,556280,565594,578926,595070,613910,633927,655126,676211,701278
94286,4143,83714,Zip,ID,ID,Boise,Boise City,Ada County,16001,161470,161542,161544,161637,162323,163211,164218,164917,165473,165795,166087,166410,166952,167465,168262,168905,169137,169317,169544,169925,170413,170990,171911,172601,173068,173333,173400,173326,173311,173060,172851,172680,172745,172863,172589,172280,171972,172118,172239,172890,173535,174498,175079,175507,175790,176188,176653,177484,178299,179141,179936,180375,180411,179988,179902,180082,180195,179982,179938,180756,181978,183666,185568,186762,188836,190862,194512,198024,201893,205072,206495,206355,207733,210595,214037,219054,223828,230188,233227,236086,238427,243301,251750,260191,264479,263377,261287,259249,258660,257279,257798,258383,259119,258226,256293,254794,253950,254800,255275,255418,252962,249679,246390,243696,241225,238480,234671,229569,226381,223134,220793,217178,214591,213216,211442,209515,207354,205167,203221,202823,201428,201646,200023,199490,198264,195764,192942,189907,187333,185576,184113,182453,180759,178173,176736,174470,172894,172481,172979,173211,173423,173089,173588,173276,173041,173207,174114,177192,180089,182425,184205,187041,189825,192583,193626,196244,200134,203804,207573,208710,210944,212589,215525,217590,218757,220479,223117,225113,225436,225546,225339,225818,225426,225811,225474,224981,225402,225730,226488,226861,227279,228379,229156,230997,232486,233899,234830,236262,237121,237553,237652,238848,242063,244305,246421,246758,248313,249485,250617,251702,253707,256371,258430,260066,260050,261673,263220,266814,268560,270682,272736,275122,277570,279758,283047,285458,288295,290571,293302,296049,300322,305404,310977,314648,317526,319441,322059,324929,328487,330413,333323,334536,337119,338305,341471,345406,349968,353379,355111,356556,358004,361592,365974,370840,374696,378936,383188,388777,395319,404629,416008,429185,443501,458735,474454,493027
94285,4151,83713,Zip,ID,ID,Boise,Boise City,Ada County,16001,144164,144459,144632,144715,144920,145152,145245,145330,145395,145491,145438,145504,145872,146122,146839,147453,148210,148535,149027,149437,149795,150008,150340,150810,151218,151641,151873,151845,151562,151405,151369,151465,151709,152067,152390,152363,152209,152327,152078,152551,153116,154037,154447,154580,154862,155178,155494,156153,156831,157545,158333,158767,158798,158365,158264,158489,158521,158285,158162,158843,159876,161439,163263,164355,166149,167879,171209,174361,177790,180551,181787,181608,182772,185710,188962,193461,197318,202798,205429,207923,210037,214391,221670,228875,232496,229912,226973,224501,224701,223808,223746,223840,223939,223024,221284,219932,218986,220011,220494,220546,218180,215049,212394,209740,207272,204177,200453,196005,193313,190562,188445,185294,182496,180776,178879,177406,175866,174260,172963,172444,170998,170808,169358,168882,167909,165910,163431,160699,158307,156606,154812,153121,151734,149743,148601,146316,144638,143891,144304,144434,144749,144660,145430,145479,145255,145635,146558,149901,153008,155968,158041,160983,163447,166226,167524,170390,174160,177566,180884,181774,183720,184910,187317,189068,190334,191801,193991,195471,195739,195754,195709,196233,195812,195938,195490,195278,195930,196439,197156,197601,198354,199676,200714,202500,204239,206021,207105,208167,208612,208912,209106,210200,212815,214631,216298,216449,217605,218348,219626,220820,222777,224850,226348,227472,227370,228723,230093,233169,234711,236680,238398,240429,242411,244413,247496,249896,252465,254413,256890,259474,263286,267767,272667,275996,278985,281202,283975,286688,290009,292131,294841,296215,298671,300331,303451,307240,311095,313982,315539,317040,318884,322301,326457,330579,334074,337569,341376,346297,352288,360597,370604,382159,394433,407680,421435,437997
