State,Region Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
SC,45001,25703,26620,27685,27574,28233,29554,30933,31821,32837,33758,35219
LA,22001,31203,31659,32924,34539,35960,36962,35446,33910,35161,37060,37786
VA,51001,32690,33626,34053,35622,36129,37338,38852,39232,40837,41826,42923
ID,16001,37782,38325,39654,41499,42937,45421,47629,48429,50894,53663,54896
MO,29001,27821,27185,28485,28705,29323,30212,31401,31671,31689,32398,33351
OK,40001,21630,23080,24229,24794,25116,25974,27972,27696,28570,28755,29528
IA,19001,35493,35236,40937,42093,44271,44864,47700,47195,49169,52817,55251
KY,21001,23348,24577,25623,26563,27010,28239,29252,29127,30396,31481,32549
WA,53001,29942,31356,34845,37294,38358,39395,44263,40212,39564,41569,43429
OH,39001,25323,25903,28091,28107,28675,30244,31673,32309,33493,34597,35269
PA,42001,36464,37331,38827,40010,40852,43022,44685,45347,46786,48379,50182
ID,16003,27015,27922,29295,31082,31735,33531,35678,37134,36031,37686,39038
MS,28001,28062,28892,30772,32118,32889,33638,32570,31961,32213,34191,35563
ND,38001,38568,41686,44594,56913,48203,48361,43676,43779,48719,48401,50172
IA,19003,36551,37217,47999,48706,55962,62338,70062,64130,60079,61015,66683
NE,31001,35983,36801,41128,43411,44251,46455,47243,46025,46288,48524,50399
IN,18001,26973,28198,31221,33796,35021,36286,35884,36162,37971,39753,40584
WI,55001,28603,29265,31203,32978,33351,34375,35913,36588,37841,38816,40841
IL,17001,34869,36633,38085,39527,40084,41142,42578,43315,44801,46880,47898
CO,8001,30815,30754,32392,33917,34811,36809,38452,39565,41321,43544,45481
VT,50001,37735,39813,42329,45304,44852,45844,46354,47407,49534,51247,52966
SC,45003,32706,33486,35122,35574,35438,36918,38749,39449,41003,42703,44349
MN,27001,28195,29361,30310,31094,31950,35089,35411,36520,37960,40077,41327
FL,12001,34188,35599,36764,36709,36901,38657,39985,40891,42905,45054,46690
NC,37001,31530,32004,33093,34309,34215,35661,36870,37576,38508,39940,41193
CA,6001,46325,48144,51281,53402,55509,59117,63912,67798,71947,77233,81171
CO,8003,29315,29115,30748,31179,31942,33394,35391,35001,36052,38163,40076
NY,36001,44279,46559,48417,50190,50809,53790,55793,55805,59640,60637,63037
WY,56001,32942,34109,37543,38627,38237,39009,39797,39155,39289,41226,42698
MI,26001,26439,28134,29452,30826,31556,32806,34582,35010,36730,38702,41049
MS,28003,26192,27411,28876,30243,30811,31475,32478,32954,34283,36147,36592
AK,2013,34101,35551,37192,36983,39229,40580,49854,57828,58601,57050,62537
AK,2016,38701,41312,46250,50760,50285,52656,52722,55745,53225,56288,58008
NC,37003,27052,27629,28267,29581,29852,31596,33565,33754,35789,36749,37622
IL,17003,25270,26712,26529,26391,30130,30048,31771,32916,33847,35446,37723
