Gross Domestic Product: All Industries by County (Percent Change from Year Ago),,,,,,,,,,,,,
Series ID,Region Name,Region Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
GDPALL45001,"Abbeville County, SC",45001,-2,4,4,0,9,6,-6,5,4,3,7
GDPALL22001,"Acadia Parish, LA",22001,-3,6,0,6,-3,1,-5,0,3,2,4
GDPALL51001,"Accomack County, VA",51001,35,4,-5,8,-14,-13,-6,-8,-6,2,1
GDPALL16001,"Ada County, ID",16001,-2,0,1,2,7,7,4,6,8,9,5
GDPALL19001,"Adair County, IA",19001,-8,0,17,-1,11,-2,8,-2,0,13,20
GDPALL21001,"Adair County, KY",21001,0,4,3,5,3,4,0,-4,4,4,4
GDPALL40001,"Adair County, OK",40001,0,17,2,-3,-2,2,11,-3,3,2,-1
GDPALL29001,"Adair County, MO",29001,2,5,6,-13,5,3,2,-2,2,5,3
GDPALL16003,"Adams County, ID",16003,0,5,1,10,4,5,11,1,3,2,4
GDPALL28001,"Adams County, MS",28001,-16,-4,4,3,8,-1,-4,-2,1,5,3
GDPALL31001,"Adams County, NE",31001,-3,0,10,5,9,0,-1,2,3,4,3
GDPALL38001,"Adams County, ND",38001,8,4,3,37,-15,0,23,-10,-8,10,47
GDPALL08001,"Adams County, CO",08001,-2,2,4,4,6,10,7,5,8,9,7
GDPALL55001,"Adams County, WI",55001,13,-6,-4,1,5,-5,4,5,1,4,7
GDPALL39001,"Adams County, OH",39001,24,-4,7,-9,5,-3,7,8,-11,-34,-20
GDPALL19003,"Adams County, IA",19003,8,14,20,-23,18,16,5,1,-2,-1,9
GDPALL42001,"Adams County, PA",42001,4,0,4,5,3,3,4,3,5,1,3
GDPALL18001,"Adams County, IN",18001,-12,18,6,6,9,9,7,2,10,2,2
GDPALL17001,"Adams County, IL",17001,-1,5,4,4,3,3,3,3,-4,5,3
GDPALL53001,"Adams County, WA",53001,-11,6,9,4,7,-4,7,-12,-3,17,8
GDPALL50001,"Addison County, VT",50001,-1,7,7,7,-7,3,4,5,4,3,4
GDPALL45003,"Aiken County, SC",45003,-5,3,1,0,0,1,6,2,2,6,4
GDPALL27001,"Aitkin County, MN",27001,0,7,-2,-3,3,2,12,4,7,-1,11
GDPALL12001,"Alachua County, FL",12001,0,0,0,2,3,4,5,4,4,6,5
GDPALL37001,"Alamance County, NC",37001,-3,5,3,2,2,2,4,6,2,3,5
GDPALL06001,"Alameda County, CA",06001,-3,4,3,5,6,6,10,5,6,5,4
GDPALL08003,"Alamosa County, CO",08003,3,-3,6,-1,4,4,9,-1,3,8,9
GDPALL56001,"Albany County, WY",56001,3,2,6,1,5,4,4,-2,6,0,2
GDPALL36001,"Albany County, NY",36001,6,1,1,3,5,5,4,4,2,4,4
GDPALL26001,"Alcona County, MI",26001,-2,1,-7,-1,6,0,2,4,6,4,12
GDPALL28003,"Alcorn County, MS",28003,-1,1,1,12,7,-1,3,-2,0,4,3
GDPALL17003,"Alexander County, IL",17003,-7,3,-10,-10,5,-1,2,-3,2,-1,12
GDPALL37003,"Alexander County, NC",37003,-2,6,-2,5,6,9,7,-1,5,-1,3
GDPALL51510,"Alexandria City, VA",51510,2,3,-2,3,-2,1,5,2,2,2,1
GDPALL40003,"Alfalfa County, OK",40003,-29,31,54,37,-5,27,-38,-31,-13,14,1
GDPALL26003,"Alger County, MI",26003,9,0,-10,6,6,1,4,1,3,7,3
GDPALL19005,"Allamakee County, IA",19005,-3,8,7,-3,9,7,1,5,-3,-2,2
GDPALL26005,"Allegan County, MI",26005,-5,5,9,1,4,0,6,6,-1,11,1
GDPALL36003,"Allegany County, NY",36003,-5,9,2,4,-2,13,1,-1,1,3,7
GDPALL24001,"Allegany County, MD",24001,2,8,2,-1,2,1,4,3,2,0,6
GDPALL37005,"Alleghany County, NC",37005,-2,2,2,-2,13,4,3,2,3,2,9
GDPALL42003,"Allegheny County, PA",42003,0,4,3,3,4,4,5,1,4,7,4
GDPALL21003,"Allen County, KY",21003,-3,13,3,5,0,0,4,12,4,3,2
GDPALL39003,"Allen County, OH",39003,19,12,16,0,-4,11,0,2,2,8,1
GDPALL20001,"Allen County, KS",20001,4,2,6,6,-2,-4,3,-3,2,4,12
GDPALL18003,"Allen County, IN",18003,-5,3,3,6,2,10,7,2,4,5,4
GDPALL22003,"Allen Parish, LA",22003,6,-3,3,2,-2,0,-3,6,5,3,6
GDPALL45005,"Allendale County, SC",45005,-1,13,-2,0,-5,-3,-7,9,8,4,4
GDPALL26007,"Alpena County, MI",26007,2,7,4,-5,4,2,5,-1,3,1,6
GDPALL06003,"Alpine County, CA",06003,-2,2,14,1,2,11,7,0,-2,1,13
GDPALL06005,"Amador County, CA",06005,-2,-1,1,-3,7,6,6,5,5,4,9
GDPALL51007,"Amelia County, VA",51007,0,16,2,6,6,2,9,-8,4,-10,5
GDPALL51009,"Amherst County, VA",51009,4,0,-1,2,4,-1,4,-1,0,3,5
GDPALL28005,"Amite County, MS",28005,-10,1,-7,4,16,14,-3,-3,10,6,2
GDPALL20003,"Anderson County, KS",20003,4,-5,11,7,4,6,-7,16,-9,0,7
GDPALL47001,"Anderson County, TN",47001,2,5,5,1,1,5,1,2,4,2,5
GDPALL48001,"Anderson County, TX",48001,-9,5,3,1,0,1,-2,3,4,7,5
GDPALL45007,"Anderson County, SC",45007,-3,6,8,3,3,0,8,6,4,7,7
GDPALL21005,"Anderson County, KY",21005,0,4,5,4,7,-5,4,6,9,3,5
GDPALL29003,"Andrew County, MO",29003,7,0,1,-2,18,-2,-13,14,5,0,12
GDPALL48003,"Andrews County, TX",48003,-33,26,30,15,1,-5,-45,-12,25,24,-19
GDPALL23001,"Androscoggin County, ME",23001,-2,0,1,5,1,3,4,2,1,5,4
GDPALL48005,"Angelina County, TX",48005,-2,3,5,6,-1,1,-1,-3,2,7,4
GDPALL24003,"Anne Arundel County, MD",24003,3,4,5,4,6,5,5,4,3,3,3
GDPALL27003,"Anoka County, MN",27003,-2,5,4,5,5,5,6,2,2,5,4
GDPALL37007,"Anson County, NC",37007,0,6,0,0,3,11,9,-1,-1,6,-2
GDPALL31003,"Antelope County, NE",31003,6,5,14,-3,7,3,-3,23,-15,8,17
GDPALL26009,"Antrim County, MI",26009,-6,-1,3,3,9,1,5,3,5,-2,6
GDPALL04001,"Apache County, AZ",04001,6,9,3,-3,2,-4,0,0,4,4,-1
GDPALL19007,"Appanoose County, IA",19007,3,-1,8,-3,3,2,9,-2,1,0,6
GDPALL13001,"Appling County, GA",13001,4,12,12,2,0,5,1,2,2,0,4
GDPALL51011,"Appomattox County, VA",51011,0,-2,-8,-4,3,2,4,2,2,3,6
