Series ID,Region Name,State,Region Code,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1
ACTLISCOU22001,Acadia Parish, LA,22001,129,125,120,131,142,139,133,145,166,183,170,161,144,133,131,123,100,85,76
ACTLISCOU16001,Ada County, ID,16001,2364,2045,1558,1889,2090,1886,1316,1389,1695,1863,1525,1630,1863,1717,1218,1452,815,517,349
ACTLISCOU17001,Adams County, IL,17001,342,330,300,328,310,313,273,282,287,302,281,307,307,307,217,264,270,228,176
ACTLISCOU42001,Adams County, PA,42001,772,671,548,627,624,460,378,403,392,360,304,365,385,334,266,242,181,162,128
ACTLISCOU8001,Adams County, CO,8001,765,760,528,693,905,711,553,771,1121,1169,891,1078,1215,948,504,720,653,453,271
ACTLISCOU45003,Aiken County, SC,45003,1447,1395,1308,1369,1287,1163,1119,1069,1055,1083,1047,1013,953,968,843,746,597,471,395
ACTLISCOU12001,Alachua County, FL,12001,1247,1168,1210,1402,1142,985,899,1026,1124,1019,958,993,956,908,878,883,782,725,512
ACTLISCOU37001,Alamance County, NC,37001,1159,1131,1002,1092,1137,1107,903,816,824,842,704,607,623,631,527,473,363,304,206
ACTLISCOU6001,Alameda County, CA,6001,1988,1412,983,1335,1433,1054,792,1228,1872,1887,1417,1891,2096,1486,1028,1393,1515,1346,926
ACTLISCOU36001,Albany County, NY,36001,1236,1144,969,999,1117,1038,810,914,1080,1056,858,929,1054,960,723,657,614,563,366
ACTLISCOU51003,Albemarle County, VA,51003,656,565,511,674,671,559,467,612,624,556,478,603,625,547,444,485,409,318,219
ACTLISCOU51510,Alexandria City, VA,51510,454,403,339,454,458,454,314,436,426,329,151,190,193,169,143,187,247,306,209
ACTLISCOU26005,Allegan County, MI,26005,303,269,209,290,391,328,257,291,352,316,240,290,392,363,269,261,197,130,84
