All-Transactions House Price Index by County (Index 2000=100),,,,,,,,,,,,,
Series ID,Region Name,Region Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ATNHPIUS45001A,"Abbeville County, SC",45001,132.29,128.12,123.05,123.16,130.71,131.96,133.75,142.15,152.61,152.99,165.44
ATNHPIUS22001A,"Acadia Parish, LA",22001,144.44,142.77,144.42,149.83,153.58,154.92,157.71,160.82,162.84,168.98,170.25
ATNHPIUS51001A,"Accomack County, VA",51001,171.86,167.34,163.35,162.22,160.17,163.32,163.24,168.20,165.83,171.98,182.96
ATNHPIUS16001A,"Ada County, ID",16001,124.83,110.20,115.45,129.05,142.79,152.52,165.94,184.58,209.58,233.07,254.81
ATNHPIUS29001A,"Adair County, MO",29001,112.61,113.79,116.24,116.75,118.19,117.48,119.61,121.36,127.29,128.14,128.20
ATNHPIUS19001A,"Adair County, IA",19001,126.43,126.61,127.80,125.04,146.40,135.31,139.39,156.03,155.80,155.60,171.01
ATNHPIUS21001A,"Adair County, KY",21001,133.22,133.05,134.63,128.83,126.39,130.98,141.89,139.20,151.13,157.62,163.17
ATNHPIUS40001A,"Adair County, OK",40001,126.79,134.65,119.97,132.26,137.53,138.09,147.55,157.27,177.74,143.21,170.35
ATNHPIUS42001A,"Adams County, PA",42001,149.71,141.61,136.11,135.26,133.85,138.33,142.98,147.49,152.62,156.48,162.23
ATNHPIUS08001A,"Adams County, CO",08001,100.37,96.17,99.10,107.68,123.21,140.02,158.65,175.66,192.30,200.48,207.83
ATNHPIUS55001A,"Adams County, WI",55001,136.27,130.20,123.80,120.30,122.51,120.81,128.94,134.52,136.72,146.01,151.00
ATNHPIUS39001A,"Adams County, OH",39001,119.75,116.52,116.94,115.64,119.16,121.96,119.86,123.27,129.95,139.99,143.63
ATNHPIUS31001A,"Adams County, NE",31001,120.81,121.84,125.10,129.55,134.05,136.27,144.54,151.23,157.28,163.34,168.78
ATNHPIUS17001A,"Adams County, IL",17001,130.80,131.11,133.08,134.32,138.27,142.12,143.73,147.29,148.52,150.52,155.06
ATNHPIUS18001A,"Adams County, IN",18001,102.49,103.61,101.82,103.21,106.46,107.44,112.93,115.50,122.25,129.74,131.36
ATNHPIUS16003A,"Adams County, ID",16003,136.51,122.36,135.48,128.73,151.75,155.47,161.82,178.69,182.47,183.68,216.18
ATNHPIUS53001A,"Adams County, WA",53001,139.19,137.50,137.84,141.54,138.75,145.19,150.10,157.62,170.85,183.04,200.72
ATNHPIUS28001A,"Adams County, MS",28001,143.26,141.54,141.62,147.22,149.28,139.60,149.08,149.64,148.95,146.60,151.36
ATNHPIUS50001A,"Addison County, VT",50001,165.90,163.42,163.82,163.93,163.50,166.51,169.48,175.78,181.10,185.26,191.21
ATNHPIUS45003A,"Aiken County, SC",45003,140.03,134.92,130.83,127.81,128.91,130.27,136.34,138.64,147.04,152.77,160.14
ATNHPIUS27001A,"Aitkin County, MN",27001,132.86,125.74,121.97,119.88,118.95,123.91,123.81,128.45,135.02,140.95,145.54
ATNHPIUS12001A,"Alachua County, FL",12001,152.88,141.20,130.98,132.52,138.56,147.55,156.02,167.69,181.44,190.62,201.44
ATNHPIUS37001A,"Alamance County, NC",37001,107.84,104.35,102.38,103.62,102.97,106.01,109.01,113.16,121.19,126.21,130.96
ATNHPIUS06001A,"Alameda County, CA",06001,135.24,128.37,129.22,146.91,170.06,185.28,206.07,220.87,240.88,243.80,243.29
ATNHPIUS08003A,"Alamosa County, CO",08003,133.42,138.10,131.95,135.15,139.65,142.55,139.26,149.89,159.43,166.56,171.04
ATNHPIUS56001A,"Albany County, WY",56001,155.95,155.84,154.35,155.11,158.13,161.86,166.19,169.71,180.12,186.48,197.97
ATNHPIUS36001A,"Albany County, NY",36001,166.22,163.73,161.24,161.10,161.08,162.04,165.78,171.53,175.89,179.32,184.76
ATNHPIUS51003A,"Albemarle County, VA",51003,159.60,154.34,150.86,151.42,154.63,159.89,164.41,168.25,177.58,184.48,189.05
ATNHPIUS26001A,"Alcona County, MI",26001,103.42,96.73,92.09,95.12,93.10,100.09,95.85,101.72,113.33,115.10,121.89
ATNHPIUS28003A,"Alcorn County, MS",28003,122.09,121.75,123.58,126.04,126.29,133.75,129.72,131.22,140.16,140.34,143.38
ATNHPIUS37003A,"Alexander County, NC",37003,121.19,116.82,111.89,110.64,112.98,116.19,117.13,123.13,130.63,135.92,141.61
ATNHPIUS51510A,"Alexandria City, VA",51510,204.71,206.33,209.61,216.41,230.65,236.51,244.75,248.94,254.79,267.24,277.84
ATNHPIUS26003A,"Alger County, MI",26003,129.14,125.58,123.65,122.82,129.97,131.37,127.72,130.64,139.44,140.75,139.98
ATNHPIUS19005A,"Allamakee County, IA",19005,130.64,129.97,130.93,137.62,136.92,139.96,146.41,147.51,154.07,155.03,158.67
ATNHPIUS26005A,"Allegan County, MI",26005,99.95,96.42,95.86,99.08,104.78,110.84,118.34,128.44,137.22,145.04,150.77
ATNHPIUS24001A,"Allegany County, MD",24001,147.26,143.77,140.69,135.99,132.14,132.81,133.17,139.21,136.87,141.70,148.17
ATNHPIUS36003A,"Allegany County, NY",36003,119.18,125.61,120.97,123.64,122.29,128.73,120.81,124.82,144.15,133.05,150.86
ATNHPIUS37005A,"Alleghany County, NC",37005,151.73,136.56,136.62,129.54,130.26,138.22,136.95,145.66,142.08,147.21,167.15
ATNHPIUS51005A,"Alleghany County, VA",51005,140.73,139.63,143.33,138.07,141.13,136.77,142.99,145.46,147.81,150.53,156.17
ATNHPIUS42003A,"Allegheny County, PA",42003,129.79,130.61,131.54,134.61,140.35,145.28,151.29,158.27,167.97,174.60,181.62
ATNHPIUS21003A,"Allen County, KY",21003,123.07,125.04,122.41,125.68,128.90,131.27,137.13,140.78,150.54,154.42,161.42
ATNHPIUS20001A,"Allen County, KS",20001,128.79,128.94,122.96,124.46,124.22,124.76,131.73,121.90,129.20,136.97,143.91
ATNHPIUS22003A,"Allen Parish, LA",22003,144.93,145.83,148.13,149.12,151.40,152.72,157.91,156.72,170.09,171.65,172.96
ATNHPIUS39003A,"Allen County, OH",39003,110.17,107.54,108.09,106.34,106.85,110.66,113.63,116.99,122.33,126.64,133.22
ATNHPIUS18003A,"Allen County, IN",18003,107.55,106.65,106.05,107.02,108.72,112.99,118.10,124.75,134.33,142.52,150.58
ATNHPIUS26007A,"Alpena County, MI",26007,99.27,92.81,89.84,89.99,92.74,94.33,95.99,102.31,103.86,108.31,112.48
ATNHPIUS06005A,"Amador County, CA",06005,124.15,108.43,103.97,113.77,127.18,139.30,153.29,164.17,173.37,180.54,185.17
