Per Capita Personal Income by County (Dollars),,,,,,,,,,,,,
Series ID,Region Name,Region Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
PCPI45001,"Abbeville County, SC",45001,25703,26620,27685,27574,28233,29554,30933,31821,32837,33758,35219
PCPI22001,"Acadia Parish, LA",22001,31203,31659,32924,34539,35960,36962,35446,33910,35161,37060,37786
PCPI51001,"Accomack County, VA",51001,32690,33626,34053,35622,36129,37338,38852,39232,40837,41826,42923
PCPI16001,"Ada County, ID",16001,37782,38325,39654,41499,42937,45421,47629,48429,50894,53663,54896
PCPI29001,"Adair County, MO",29001,27821,27185,28485,28705,29323,30212,31401,31671,31689,32398,33351
PCPI40001,"Adair County, OK",40001,21630,23080,24229,24794,25116,25974,27972,27696,28570,28755,29528
PCPI19001,"Adair County, IA",19001,35493,35236,40937,42093,44271,44864,47700,47195,49169,52817,55251
PCPI21001,"Adair County, KY",21001,23348,24577,25623,26563,27010,28239,29252,29127,30396,31481,32549
PCPI53001,"Adams County, WA",53001,29942,31356,34845,37294,38358,39395,44263,40212,39564,41569,43429
PCPI39001,"Adams County, OH",39001,25323,25903,28091,28107,28675,30244,31673,32309,33493,34597,35269
PCPI42001,"Adams County, PA",42001,36464,37331,38827,40010,40852,43022,44685,45347,46786,48379,50182
PCPI16003,"Adams County, ID",16003,27015,27922,29295,31082,31735,33531,35678,37134,36031,37686,39038
PCPI28001,"Adams County, MS",28001,28062,28892,30772,32118,32889,33638,32570,31961,32213,34191,35563
PCPI38001,"Adams County, ND",38001,38568,41686,44594,56913,48203,48361,43676,43779,48719,48401,50172
PCPI19003,"Adams County, IA",19003,36551,37217,47999,48706,55962,62338,70062,64130,60079,61015,66683
PCPI31001,"Adams County, NE",31001,35983,36801,41128,43411,44251,46455,47243,46025,46288,48524,50399
PCPI18001,"Adams County, IN",18001,26973,28198,31221,33796,35021,36286,35884,36162,37971,39753,40584
PCPI55001,"Adams County, WI",55001,28603,29265,31203,32978,33351,34375,35913,36588,37841,38816,40841
PCPI17001,"Adams County, IL",17001,34869,36633,38085,39527,40084,41142,42578,43315,44801,46880,47898
PCPI08001,"Adams County, CO",08001,30815,30754,32392,33917,34811,36809,38452,39565,41321,43544,45481
PCPI50001,"Addison County, VT",50001,37735,39813,42329,45304,44852,45844,46354,47407,49534,51247,52966
PCPI45003,"Aiken County, SC",45003,32706,33486,35122,35574,35438,36918,38749,39449,41003,42703,44349
PCPI27001,"Aitkin County, MN",27001,28195,29361,30310,31094,31950,35089,35411,36520,37960,40077,41327
PCPI12001,"Alachua County, FL",12001,34188,35599,36764,36709,36901,38657,39985,40891,42905,45054,46690
PCPI37001,"Alamance County, NC",37001,31530,32004,33093,34309,34215,35661,36870,37576,38508,39940,41193
PCPI06001,"Alameda County, CA",06001,46325,48144,51281,53402,55509,59117,63912,67798,71947,77233,81171
PCPI08003,"Alamosa County, CO",08003,29315,29115,30748,31179,31942,33394,35391,35001,36052,38163,40076
PCPI36001,"Albany County, NY",36001,44279,46559,48417,50190,50809,53790,55793,55805,59640,60637,63037
PCPI56001,"Albany County, WY",56001,32942,34109,37543,38627,38237,39009,39797,39155,39289,41226,42698
PCPI26001,"Alcona County, MI",26001,26439,28134,29452,30826,31556,32806,34582,35010,36730,38702,41049
PCPI28003,"Alcorn County, MS",28003,26192,27411,28876,30243,30811,31475,32478,32954,34283,36147,36592
PCPI02013,"Aleutians East Borough, AK",02013,34101,35551,37192,36983,39229,40580,49854,57828,58601,57050,62537
PCPI02016,"Aleutians West CA, AK",02016,38701,41312,46250,50760,50285,52656,52722,55745,53225,56288,58008
PCPI37003,"Alexander County, NC",37003,27052,27629,28267,29581,29852,31596,33565,33754,35789,36749,37622
PCPI17003,"Alexander County, IL",17003,25270,26712,26529,26391,30130,30048,31771,32916,33847,35446,37723
PCPI51510,"Alexandria City, VA",51510,72452,76633,79217,82442,78263,81365,82825,83447,84923,89648,91990
PCPI40003,"Alfalfa County, OK",40003,27031,31100,37170,43069,38637,45730,42071,34873,34971,37904,39316
PCPI26003,"Alger County, MI",26003,24587,24909,26225,26990,27508,28916,30701,31327,31953,33442,34233
PCPI19005,"Allamakee County, IA",19005,31290,34232,37851,38808,42024,42965,44784,44199,44833,46819,49945
PCPI26005,"Allegan County, MI",26005,31966,33045,35819,36244,37212,38492,40239,41112,42466,44686,45937
PCPI24001,"Allegany County, MD",24001,30713,32000,33253,33941,34504,35800,36949,38119,38990,39985,41454
PCPI36003,"Allegany County, NY",36003,27406,28206,28939,30005,29997,31457,32377,32497,34116,34784,36164
PCPI37005,"Alleghany County, NC",37005,28471,28799,29996,31007,30856,32784,34628,35281,35932,36962,38514
PCPI42003,"Allegheny County, PA",42003,44556,46192,48280,49945,50425,52609,55008,55716,59068,63722,65784
PCPI39003,"Allen County, OH",39003,31859,32759,34245,35575,35522,36845,38512,39336,40925,42575,43788
